t_tripkey,pickup_lon,pickup_lat,t_pickuptime,distance_to_center
4005317,-111.556751158,34.611370215,1995-07-28 11:46:44,0.3293203110597446
2242587,-112.092671032,34.850989623,1998-08-16 17:39:31,0.33219836193971386
5114291,-112.037208546,34.684568805,1997-02-13 04:56:22,0.33251273696742384
2916305,-111.640977192,34.553597288,1993-05-18 22:32:30,0.3381218700024623
1831423,-111.600893204,34.571080064,1998-09-06 11:37:30,0.33883336952258497
3712615,-111.770244842,35.209350522,1994-08-15 04:13:17,0.3397763149462851
4126608,-111.42144669,34.806573881,1992-09-20 14:13:37,0.34537133238292705
1779206,-111.659687379,34.537838829,1998-03-02 00:47:16,0.3469813885374531
5264754,-111.43799962,34.741754518,1994-03-01 02:00:36,0.3474180361529244
3991898,-111.929176817,34.565230002,1992-01-02 09:31:50,0.3478295868070649
5901441,-111.748737943,34.520787782,1996-10-28 10:32:20,0.34912761837407313
1136427,-112.076916057,35.026420451,1993-09-28 09:37:46,0.3526531650674303
5737187,-112.06476187,34.686960679,1998-03-29 08:44:38,0.3544925007746134
3414804,-111.434628278,34.703909083,1997-08-31 06:02:30,0.36606711007811227
3105630,-111.911838035,34.534979065,1997-06-15 00:03:24,0.3671378720997569
4851420,-111.447065669,35.068597051,1998-03-08 11:40:34,0.37163799735348874
785326,-112.132486111,34.834702453,1995-07-30 00:12:00,0.37313102117343344
3370100,-111.920710792,34.515923678,1993-04-10 01:56:06,0.38815618388622336
1519127,-112.103784349,34.687578701,1996-07-08 23:16:33,0.38816140646488934
5322741,-112.13308876,34.734036436,1992-04-12 20:14:31,0.3960487948669069
370640,-111.40420645,34.690177307,1993-08-14 16:26:30,0.3994121112630036
4889911,-111.659788924,34.479527668,1994-12-03 06:00:01,0.4030857608045647
1023781,-111.653253811,34.480462743,1995-08-13 20:50:58,0.40387483640468474
4931535,-111.555103,34.517095329,1997-09-01 06:52:59,0.4083180483642826
1629303,-112.170294796,34.852100743,1992-05-18 14:15:33,0.4096729962782898
2417644,-111.541078461,34.521107319,1994-07-29 19:28:40,0.4121678548393785
5955075,-111.733462069,34.456751509,1995-08-14 12:27:39,0.41386567127866386
1079857,-112.130064441,34.681548972,1997-08-29 00:37:15,0.4142576142306908
319338,-111.911020514,34.479833343,1996-06-29 05:44:31,0.417734562684464
5668833,-111.348784077,34.78303073,1995-04-03 02:46:52,0.4212285953458853
1845433,-111.424511686,34.616097107,1996-03-29 22:58:58,0.42135354845607687
2078837,-112.10133242,34.61418146,1998-01-06 11:30:08,0.42557711450076463
5025192,-111.429801554,34.601706504,1995-08-01 02:13:00,0.4260433364472675
3392516,-112.167382067,35.001480253,1996-10-15 09:52:30,0.4272147228969797
3232847,-112.105743852,34.60863493,1993-10-27 08:58:26,0.4324387751646567
5509641,-112.008511732,34.514913727,1997-04-24 09:23:05,0.43259144349706574
4290226,-112.065410316,34.560748662,1998-05-24 00:40:20,0.43372407097048615
3905784,-112.042565119,34.53853341,1994-11-02 21:52:29,0.43468405373295854
3872732,-111.314839774,34.844786182,1995-06-15 01:32:30,0.4468552848425301
