c_custkey,customer_name,pickup_month,monthly_travel_hull_area,dropoff_count
41332,Customer#000041332,1992-01-01,33856.24623445281,11
133972,Customer#000133972,1992-06-01,33831.11645362494,6
40297,Customer#000040297,1993-08-01,33828.96885299238,7
155833,Customer#000155833,1996-05-01,33793.93053737008,7
149524,Customer#000149524,1992-08-01,33779.72092154349,13
21361,Customer#000021361,1995-12-01,33742.21505971903,8
234856,Customer#000234856,1992-08-01,33729.42411838104,9
68815,Customer#000068815,1996-11-01,33726.20156902767,8
240778,Customer#000240778,1992-08-01,33677.0184595273,7
58798,Customer#000058798,1997-09-01,33646.0273891646,12
130585,Customer#000130585,1995-09-01,33642.39208719249,10
247999,Customer#000247999,1993-05-01,33633.96880400131,8
304,Customer#000000304,1998-04-01,33628.173196681666,6
128146,Customer#000128146,1995-04-01,33601.28515236421,9
223255,Customer#000223255,1994-08-01,33588.2487575907,10
109003,Customer#000109003,1998-11-01,33557.011681609736,7
3652,Customer#000003652,1998-08-01,33550.65183483359,9
156220,Customer#000156220,1994-07-01,33548.052163492684,6
266005,Customer#000266005,1996-12-01,33541.39556505347,10
49081,Customer#000049081,1992-12-01,33519.54642194246,14
72820,Customer#000072820,1996-12-01,33517.69334971536,11
235468,Customer#000235468,1993-05-01,33498.0537704805,11
294085,Customer#000294085,1997-04-01,33451.368685913665,11
284422,Customer#000284422,1993-06-01,33447.174020372055,11
55991,Customer#000055991,1994-02-01,33403.99086696976,6
213421,Customer#000213421,1996-01-01,33392.19198841711,14
276067,Customer#000276067,1995-10-01,33391.73132374705,6
217921,Customer#000217921,1996-08-01,33386.900052292185,9
61651,Customer#000061651,1994-08-01,33368.15837681148,8
246916,Customer#000246916,1997-06-01,33341.0829173662,6
49366,Customer#000049366,1994-05-01,33327.56590777436,6
51208,Customer#000051208,1997-10-01,33323.57300976284,6
16855,Customer#000016855,1998-11-01,33308.4915535837,10
102163,Customer#000102163,1993-05-01,33294.946130802055,7
190465,Customer#000190465,1998-05-01,33289.54824791045,8
14455,Customer#000014455,1995-12-01,33277.03482191164,10
129694,Customer#000129694,1993-02-01,33266.64271317925,6
232042,Customer#000232042,1993-03-01,33265.66337086487,6
237034,Customer#000237034,1992-07-01,33257.886096476555,7
110203,Customer#000110203,1996-08-01,33252.076935787714,9
112852,Customer#000112852,1998-09-01,33236.36096768972,8
219988,Customer#000219988,1994-12-01,33216.22735650874,11
267928,Customer#000267928,1993-12-01,33209.9084382601,9
212203,Customer#000212203,1996-03-01,33202.75781725962,10
219988,Customer#000219988,1998-03-01,33191.131639425425,9
11152,Customer#000011152,1998-01-01,33179.95774682087,10
228064,Customer#000228064,1995-04-01,33174.549899445155,9
17365,Customer#000017365,1996-10-01,33155.4490092121,6
