t_tripkey,pickup_lon,pickup_lat,t_pickuptime,distance_to_center
12526966,-111.748227148,34.796047303,1993-07-17 09:42:51,0.0747520268861497
2162201,-111.754882978,34.945942112,1997-05-24 12:54:50,0.076487107412742
37081660,-111.69214936,34.903631748,1998-03-09 15:35:24,0.0767578930843224
56204586,-111.68346776,34.882804802,1998-11-28 03:11:03,0.0786319532688606
24412171,-111.690534715,34.833450108,1995-10-22 00:18:02,0.0792427350622287
36587142,-111.779628695,34.947154795,1998-03-28 17:53:49,0.0796635019685639
50421613,-111.685429885,34.902233355,1996-08-15 05:16:11,0.0822755216857829
3109716,-111.814201688,34.806160715,1998-10-09 19:57:28,0.0828713481509821
21390826,-111.696695144,34.816936321,1992-12-10 13:53:47,0.0831812498511233
5684598,-111.831891196,34.824578274,1994-11-11 10:40:14,0.0840329210936444
53370333,-111.737567448,34.950445995,1997-11-20 17:20:22,0.0840773465433644
3162067,-111.780943497,34.786960535,1996-12-23 21:20:07,0.0851091190242017
39347587,-111.781408834,34.785063259,1992-04-10 16:42:40,0.0870626121382863
20711108,-111.821063193,34.805703087,1994-01-10 13:18:06,0.0877678302505303
49048170,-111.823135227,34.807245156,1996-01-31 22:33:18,0.0880987739608553
44013861,-111.770632369,34.780179247,1997-06-19 06:16:55,0.0900374796972882
24360962,-111.738389687,34.959430772,1996-06-23 19:18:20,0.0925356023251227
59678980,-111.842232861,34.915266555,1995-06-16 17:15:35,0.0931401558985919
29511115,-111.826051789,34.799642147,1996-07-19 17:37:56,0.0956025000670563
18806660,-111.784070333,34.776229574,1995-12-06 12:15:37,0.0962754423586476
24316162,-111.715018397,34.784546053,1998-04-23 07:56:57,0.0967755263696813
14779271,-111.72211068,34.959419484,1994-08-29 22:37:14,0.0977853006299426
40592647,-111.664761906,34.844680566,1994-08-28 14:23:26,0.0994371299587497
9470844,-111.849513228,34.823671964,1994-01-29 02:05:05,0.0997655833892601
30069925,-111.663851801,34.844393584,1996-04-27 15:22:10,0.1003901751154286
58257001,-111.722839821,34.776455234,1995-04-15 09:03:39,0.1007511074267071
7783031,-111.84935086,34.918446501,1998-11-22 00:37:00,0.1009063715653439
55930954,-111.758024738,34.972311375,1997-03-19 10:18:36,0.1026545004535028
55315874,-111.659342774,34.887184066,1995-02-20 09:11:39,0.1031498141632236
43070809,-111.677463532,34.808852945,1996-11-30 06:41:27,0.1033474991864197
6232983,-111.77862117,34.971779066,1996-11-22 09:28:36,0.1035888089882374
35609039,-111.84052275,34.801378575,1992-10-16 11:55:45,0.1048412365512479
33224242,-111.660889807,34.904994073,1992-04-08 01:16:13,0.1061495281733492
34779364,-111.662433469,34.90949836,1992-08-08 16:33:19,0.1062980267552567
14678680,-111.81557746,34.777966439,1997-04-07 16:14:29,0.1067414884372227
57177040,-111.688802705,34.951682322,1994-02-26 14:37:10,0.1092407914921358
33746035,-111.864059746,34.832365092,1997-03-17 10:17:49,0.1096138978458149
7604722,-111.852997145,34.806681627,1993-05-10 05:59:47,0.1115113896591705
11610618,-111.684172689,34.788797786,1994-11-09 17:48:13,0.1115688305289277
40592609,-111.870870142,34.88978748,1994-08-30 06:35:06,0.1116913378729603
43613626,-111.648878674,34.873633237,1997-03-15 05:43:45,0.1121902941314218
4720241,-111.651220298,34.895253085,1995-05-09 22:35:24,0.1127144317477818
55429269,-111.65149093,34.838659882,1993-04-10 12:50:23,0.1138232196773537
58215837,-111.844479937,34.792236468,1992-08-29 13:19:05,0.1138837067865312
26928351,-111.856139546,34.803873754,1997-11-02 07:11:09,0.1156919525098371
37612871,-111.651114397,34.912076252,1995-09-30 12:08:14,0.1177734795284564
43684609,-111.744720442,34.752574633,1994-06-28 07:18:25,0.1182513238977044
2428191,-111.877145095,34.8940654,1994-11-15 18:56:50,0.1186733154913975
12277427,-111.64529471,34.896204673,1998-03-18 09:10:43,0.1187021980622917
29901309,-111.717866592,34.758545364,1993-08-10 02:59:15,0.119230214249525
28701108,-111.799792314,34.756954732,1997-09-16 06:00:09,0.1192322904328685
45347177,-111.837947873,34.777609254,1993-05-14 03:29:47,0.1200070025376131
26542646,-111.682231372,34.772988323,1993-11-13 17:11:15,0.1247302899265201
12506510,-111.645328447,34.919467751,1992-03-24 06:14:06,0.1259235371685103
58143170,-111.878200679,34.822661435,1998-02-26 22:01:50,0.126287868599173
5732099,-111.688482233,34.973377138,1997-06-19 04:42:21,0.1265218379353356
30487647,-111.642037623,34.915705317,1993-12-14 07:19:35,0.1275481726006327
21763672,-111.886597414,34.892956046,1995-11-18 06:56:53,0.1277323532979838
29484459,-111.779696413,34.742526016,1997-01-19 17:02:09,0.1285409587077187
3820767,-111.831469631,34.978602712,1997-12-17 14:05:20,0.1297141841674662
2869536,-111.695635113,34.982210773,1994-02-10 21:37:39,0.1301201079525364
47111822,-111.851797593,34.774954221,1998-07-15 14:43:44,0.1312286764884543
39741856,-111.819164306,34.988569744,1998-05-21 19:05:20,0.1323370791996276
43064000,-111.864265388,34.786915306,1993-02-14 15:17:41,0.1323519773916023
1826539,-111.658087797,34.786056942,1996-04-29 17:20:12,0.1326162986887549
56191030,-111.812651561,34.74745998,1993-06-14 05:30:06,0.1327045826011182
8556471,-111.76209692,34.736648015,1998-10-17 08:16:34,0.1330565065899712
59531996,-111.889716513,34.83524536,1998-03-06 00:25:25,0.1332481254517634
